id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
7756158,09015713943002363000000000U8,ACADEMIA CENTRAL BONE BREAKERS,NA,713943,Centros de acondicionamiento físico del sector privado,11 a 30 personas,CALLE,NEZAHUALCOYOTL,AVENIDA,JOSE MARIA PINO SUAREZ,CALLE,20 DE NOVIEMBRE,AVENIDA,JOSE MARIA IZAZAGA,186,NA,NA,NA,200,NA,COLONIA,CENTRO,NA,NA,NA,06010,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0964,009,5512862956,NA,WWW.BONEBREAKERSMMA.COM,Fijo,19.42504101,-99.13404012,2019-11
10035758,09002713943001451000000000U0,ACADEMIA DE BAILE,ACADEMIA DE BAILE,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,AVENIDA,AVENIDA DE LAS GRANJAS,CALLE,AQUILES ELORDUY,CALLE,SALONICA,CALLE,NORTE 75,NA,SN,NA,NA,NA,NA,COLONIA,JARDÍN AZPEITIA,NA,NA,NA,02530,09,Ciudad de México,002,Azcapotzalco,0001,Azcapotzalco,0519,024,NA,NA,NA,Fijo,19.4716443,-99.17560333,2024-11
10694452,09005713943004821000000000U4,ACADEMIA DE BAILE STEP SOUL,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,AVENIDA,CAMINO A SAN JUAN DE ARAGON,CALLE,CERRADA JUAN FRANCISCO,CALLE,PUERTO SAN BLAS,CALLE,CENTRAL,67,NA,NA,NA,NA,NA,COLONIA,EL OLIVO,NA,NA,NA,07920,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,1951,016,5513574392,NA,NA,Fijo,19.47438136,-99.08575086,2024-11
11515919,09010713943002331000000000U6,ACADEMIA DE POLE DANCE POLE BONNY DANCE,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,RAFAEL CHECA,CERRADA,PRIMERA RAFAEL CHECA,CALLE,CALLEJON DEL CARMEN,CALLE,CALLEJON DEL CARMEN,13,NA,NA,NA,NA,NA,PUEBLO,SANTA ROSA XOCHIAC,NA,NA,NA,01830,09,Ciudad de México,010,Álvaro Obregón,0001,Álvaro Obregón,135A,017,5576094070,NA,NA,Fijo,19.32825944,-99.28094736,2024-11
812127,09006812110000921000000000U0,ACADEMIA DE ZUMBA,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,ORIENTE 245,AVENIDA,SUR 8,CALLE,SUR 8-D,CALLE,ORIENTE 243-B,143,NA,NA,NA,NA,NA,COLONIA,AGRÍCOLA ORIENTAL,NA,NA,NA,08500,09,Ciudad de México,006,Iztacalco,0001,Iztacalco,033A,004,5555581462,NA,NA,Fijo,19.39889117,-99.06974475,2010-07
849582,09012713943001321000000000U4,ACADEMIA FITNES DANCE,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,HALACHO,CALLE,KANTUNIL,CALLE,KOPOMA,CALLE,TIXKOKOB,2,MZ 148 LT 2,NA,NA,NA,NA,COLONIA,PEDREGAL DE SAN NICOLÁS TERCERA SECCIÓN,NA,NA,NA,14100,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,0515,024,NA,NA,NA,Fijo,19.28662014,-99.23571108,2014-12
11509244,09007713943007691000000000U4,ACADEMIA NEW YORK,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,HIGUERILLA PALMAR,CALLE,OYAMEL,CALLE,BAMBU,CALLE,BAMBU,NA,SN,NA,NA,NA,NA,COLONIA,SANTIAGO ACAHUALTEPEC SEGUNDA AMPLIACIÓN,NA,NA,NA,09609,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,2738,013,NA,NA,NA,Fijo,19.34366571,-99.00840123,2024-11
11745039,09007713943008161000000000U7,ACERO GYM CASA DE CAMPEONES,ACERO GYM CASA DE CAMPEONES,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,AVENIDA,GUELATAO,CALLE,Luis González Obregón,CALLE,Diego Rivera,CALLE,Ricardo Flores Magón,2,MZ 16,NA,NA,NA,NA,COLONIA,SANTA MARÍA AZTAHUACAN,NA,NA,NA,09570,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,1087,044,NA,NA,NA,Fijo,19.36406073,-99.04011278,2025-04
941819,09013713943001221000000000U4,ACONDICIONAMIENTO FISICO SANTIAGO SPORT,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,CUAUHTEMOC,CALLE,AQUILES SERDAN,CALLE,LIBERTAD,CALLE,SOCRATES,266,NA,NA,NA,NA,NA,PUEBLO,SANTIAGO TEPALCATLALPAN,NA,NA,NA,16200,09,Ciudad de México,013,Xochimilco,0001,Xochimilco,0372,003,NA,NA,NA,Fijo,19.24746901,-99.12356394,2014-12
825473,09007713943002311000000000U4,ACONDICIONAMIENTO FISICO Y ZUMBA SIN NOMBRE,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,AVENIDA,HERMINIO CHAVARRIA,AVENIDA,20 DE NOVIEMBRE,CALLE,NARCISO MENDOZA,CALLE,EMILIANO ZAPATA,545,G,NA,NA,NA,NA,COLONIA,SANTA MARÍA AZTAHUACAN,NA,NA,NA,09570,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,1091,014,5519399712,NA,NA,Fijo,19.35568485,-99.03081993,2014-12
7727821,09007713943005461000000000U4,ACONDICIONAMIENTO FISICO-SALA DE ZUMBA,ISABEL PEREZ,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,MARCOS LOPEZ JIMENEZ,CALLE,CUTBERTO AROCHE,CERRADA,MARCOS LOPEZ JIMENEZ,CALLE,JOSE DE LA LUZ BLANCO,16,LOTE 16 MZ 187,NA,NA,NA,NA,COLONIA,SANTA MARTHA ACATITLA NORTE,NA,NA,NA,09140,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,0623,007,5515783550,NA,NA,Fijo,19.3795579,-99.01444487,2019-11
11670048,09011713943002321000000000U5,ACONDICIONAMMIENTO FISICO JUMPWHITHE POWER,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,OTRO(ESPECIFIQUE),NINGUNO,AVENIDA,LANGOSTA,CALLE,GABRIELA MISTRAL,AVENIDA,CANAL DE CHALCO,NA,SN,UH NUEVA TENOCHTITLAN,1,13,NA,UNIDAD HABITACIONAL,VILLA CENTROAMERICANA,NA,NA,NA,13728,09,Ciudad de México,011,Tláhuac,0001,Tláhuac,1075,040,5620621124,NA,NA,Fijo,19.28133588,-99.05851705,2024-11
11795104,09014713943002412000000000U6,ACRO ESPACIO POLE DANCE STUDIO,NA,713943,Centros de acondicionamiento físico del sector privado,6 a 10 personas,AVENIDA,DOCTOR JOSÉ MARÍA VÉRTIZ,CALLE,Matías Romero,AVENIDA,Cuicuilco,CALLE,Monte Albán,1204,PB,NA,NA,NA,NA,COLONIA,LETRÁN VALLE,NA,NA,NA,03650,09,Ciudad de México,014,Benito Juárez,0001,Benito Juárez,0632,033,5530052381,ANTICUARIO@GMAIL.COM,NA,Fijo,19.37705086,-99.15355034,2025-04
7627229,09012713943002201000000000U7,ACSENDUM GIMNASIO DE ESCALADA,JAIME RODRIGUEZ,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,AVENIDA PROLONGACION CANAL DE MIRAMONTES,CALLE,LA ROSA,CALLE,LAZARO CARDENAS,CALLE,LA ROSA,15,NA,NA,NA,NA,NA,COLONIA,SAN BARTOLO EL CHICO,NA,NA,NA,14380,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,1000,002,5581195378,NA,NA,Fijo,19.28590938,-99.130205,2019-11
9863833,09012713943003101000000000U8,ACTIVE 24,ACTIVE 24,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,AVENIDA,INSURGENTES SUR,CALLE,CAMINO A SANTA TERESA,PRIVADA,INSURGENTES SUR,CALLE,NINGUNO,3655,NA,NA,19,NA,NA,COLONIA,PARQUE NACIONAL BOSQUE DEL PEDREGAL,EDIFICIO COMERCIAL Y DE SERVICIOS,ESPACIO SUR PLAZA,14,14260,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,0360,011,5578390369,NA,NA,Fijo,19.29529656,-99.18430947,2024-11
10900502,09014713943002161000000000U9,ACTIVE 24,ACTIVE 24,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,EJE VIAL,2 PONIENTE GABRIEL MANCERA,CALLE,MIGUEL LAURENT,CALLE,SAN LORENZO,CALLE,AMORES,1359,NA,NA,NA,NA,NA,COLONIA,DEL VALLE SUR,NA,NA,NA,03100,09,Ciudad de México,014,Benito Juárez,0001,Benito Juárez,0740,002,NA,NA,NA,Fijo,19.37366853,-99.16745301,2024-11
956789,09014713943000712002000000U1,ACTIVE 24 FITNESS,ACTIVE 24 FITNESS,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,LA MORENA,CALLE,ANAXAGORAS,CALLE,PITAGORAS,EJE VIAL,4 SUR (XOLA),811,NA,NA,NA,204,NA,COLONIA,NARVARTE PONIENTE,NA,NA,NA,03020,09,Ciudad de México,014,Benito Juárez,0001,Benito Juárez,0064,003,NA,VENTAS.ACTIVE24@GMAIL.COM,NA,Fijo,19.39812688,-99.15696265,2010-07
9604030,09015713943002833000000000U0,ACTIVE FIRNESS,RUTINAS FUNCIONALES INTEGRADAS,713943,Centros de acondicionamiento físico del sector privado,11 a 30 personas,EJE VIAL,2 NORTE MANUEL GONZALEZ,CALLE,PROLONGACION LERDO,CALLE,ZOLTAN KODALY,CALLE,INGLATERRA,95,NA,NA,17,NA,C,COLONIA,SAN SIMÓN TOLNAHUAC,CENTRO Y PLAZA COMERCIAL,PUERTA TLATELOLCO,001,06920,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0080,026,NA,NA,NA,Fijo,19.45581119,-99.14210459,2024-11
6757835,09007713943004061002000000U3,ACTIVE FITNESS,GIMNASIO ACTIVO,713943,Centros de acondicionamiento físico del sector privado,6 a 10 personas,EJE VIAL,7 SUR MUNICIPIO LIBRE,CALLE,CASCADA,CALLE,SUR 69,EJE VIAL,7-A SUR (ORIENTE 172),83,NA,NA,17,NA,NA,COLONIA,BANJIDAL,CENTRO Y PLAZA COMERCIAL,PLAZA CASCADA,26,09450,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,0642,015,NA,ACTIVEFITNESSPCS@HOTMAIL.COM,WWW.ACTIVEFITNESS.COM.MX,Fijo,19.36702376,-99.13672246,2016-10
8228321,09002713943001062001000000U5,ACTIVE FITNESS,ACTIVE FITNESS,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,AVENIDA,AQUILES SERDAN,CALLE,CAMINO A NEXTENGO,CALLE,5 DE FEBRERO,AVENIDA,FERROCARRILES NACIONALES,400,NA,NA,18,NA,NA,COLONIA,NEXTENGO,CENTRO Y PLAZA COMERCIAL,PLAZA PABELLON AZCAPOTZALCO,210,02070,09,Ciudad de México,002,Azcapotzalco,0001,Azcapotzalco,0472,017,NA,NA,WWW.ACTIVEFITNESS.MX,Fijo,19.47316128,-99.18941528,2019-11
855887,09012713943001231000000000U5,ACTIVIDADES,JORGE GALVEZ ORTUÑO SA DE CV,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,JESUS LECUONA,CALLE,FERNANDO BELTRAN Y PUGA,CALLE,JOSE MARIA ANAYA,CALLE,VENUSTIANO CARRANZA,NA,SN,NA,NA,NA,NA,COLONIA,MIGUEL HIDALGO SEGUNDA SECCIÓN,NA,NA,NA,14250,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,0888,001,NA,NA,NA,Fijo,19.28468701,-99.19903517,2010-07
7705865,09008713943000651000000000U3,ACTIVIDADES DEPORTIVAS,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,LUIS ECHEVERRIA ALVAREZ,CALLE,CORONA DEL ROSAL,PRIVADA,LEA,AVENIDA,LUIS CABRERA,131,NA,NA,NA,NA,NA,COLONIA,LA MALINCHE,NA,NA,NA,10010,09,Ciudad de México,008,La Magdalena Contreras,0001,La Magdalena Contreras,0141,033,NA,NA,NA,Fijo,19.32500352,-99.24673789,2019-11
7705860,09008713943000641000000000U4,ACTIVIDADES DEPORTIVAS SIN NOMBRE,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,AVENIDA,MIGUEL HIDALGO,AVENIDA,PIRULES,CERRADA,MIGUEL HIDALGO,CERRADA,LOPEZ VELARDE,8,NA,NA,NA,NA,NA,COLONIA,EL TANQUE,NA,NA,NA,10320,09,Ciudad de México,008,La Magdalena Contreras,0001,La Magdalena Contreras,0090,001,5513028600,NA,NA,Fijo,19.32544914,-99.247816,2019-11
10412164,09005713943004672000000000U1,ACTIVIDADES EAD,NA,713943,Centros de acondicionamiento físico del sector privado,6 a 10 personas,CALLE,AGUSTIN LARA,CALLE,MIGUEL LERDO DE TEJADA,CALLE,NINGUNO,CALLE,TATA NACHO,9,MZ78,NA,NA,NA,NA,CIUDAD,COMPOSITORES MEXICANOS,NA,NA,NA,07130,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,3252,014,5624211326,NA,NA,Fijo,19.56339604,-99.13987641,2024-11
11643664,09014713943002343000000000U3,ADAMANT FITNESS AND WELLNESS CLUB,NA,713943,Centros de acondicionamiento físico del sector privado,11 a 30 personas,AVENIDA,DIAGONAL SAN ANTONIO,CALLE,XOCHICALCO,CALLE,UXMAL,EJE VIAL,4 SUR (XOLA),1429,NA,NA,NA,NA,NA,COLONIA,NARVARTE PONIENTE,NA,NA,NA,03020,09,Ciudad de México,014,Benito Juárez,0001,Benito Juárez,0083,010,5521376942,CONTACTO@ADMNT.MX,WWW.ADMNT.MX,Fijo,19.396847,-99.15415558,2024-11
725877,09007713944000101001000000U9,ADMIMINISTRACION DEL DEPORTIVO REFORMA AGRARIA,ALCALDIA IZTAPALAPA,713944,Centros de acondicionamiento físico del sector público,6 a 10 personas,CERRADA,BANDERA,CALLE,BANDERA (CAMPO REFORMA),CALLE,NINGUNO,CALLE,NINGUNO,NA,SN,NA,NA,NA,NA,BARRIO,SAN ANDRÉS TOMATLAN,NA,NA,NA,09070,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,1852,022,NA,NA,NA,Fijo,19.32866365,-99.10410223,2014-12
7400730,09016713944000091000000000U3,ADMINISTRACION BAJO PUENTE,ALCALDIA MIGUEL HIDALGO,713944,Centros de acondicionamiento físico del sector público,0 a 5 personas,CALLE,CALZADA MEXICO TACUBA,CALLE,AQUILES SERDAN,AVENIDA,AQUILES SERDAN,CALLE,AQUILES SERDAN,NA,SN,NA,NA,NA,NA,COLONIA,SAN DIEGO OCOYOACAC,NA,NA,NA,01150,09,Ciudad de México,016,Miguel Hidalgo,0001,Miguel Hidalgo,0054,024,NA,NA,NA,Fijo,19.46109977,-99.19059513,2019-11
805217,09005931610000051001000000U3,ADMINISTRACION DE DEPORTIVO GERTRUDIS SANCHEZ,GOBIERNO DE LA CIUDAD DE MEXICO,713944,Centros de acondicionamiento físico del sector público,0 a 5 personas,CALLE,NORTE 94,EJE VIAL,3 NORTE (ANGEL ALBINO CORZO-ORIENTE 101),EJE VIAL,4 NORTE (AVENIDA TALISMAN),AVENIDA,GRAN CANAL,NA,SN,NA,NA,NA,NA,COLONIA,GERTRUDIS SÁNCHEZ SEGUNDA SECCIÓN,NA,NA,NA,07839,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,2112,004,NA,NA,NA,Fijo,19.4626676,-99.09783771,2010-07
1046883,09011713941000101011000000U7,ADMINISTRACION DEL DEPORTIVO,CLUBS DEPORTIVOS DE ZAPOTITLAN,713944,Centros de acondicionamiento físico del sector público,6 a 10 personas,AVENIDA,TLAHUAC,CALLE,EMILIO LAURENT,CALLE,SEBASTIAN TREJO,CALLE,AGUSTIN CAMARENA,NA,SN,NA,NA,NA,NA,COLONIA,SANTIAGO SUR,NA,NA,NA,13360,09,Ciudad de México,011,Tláhuac,0001,Tláhuac,0113,014,NA,NA,NA,Fijo,19.29640492,-99.03496732,2010-07
10429768,09007713944000362000000000U7,ADMINISTRACION DEPORTIVO SAN SEBASTIAN TECOLOXTITLAN,DEPORTIVO SAN SEBASTIAN,713944,Centros de acondicionamiento físico del sector público,6 a 10 personas,CALLE,MARCOS N MENDEZ,CALLE,FEDERICO GONZALEZ,CALLE,MANUEL GANDARA,CALLE,PEDRO ACEVES,NA,SN,NA,NA,NA,NA,COLONIA,SANTA MARTHA ACATITLA SUR,NA,NA,NA,09520,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,0835,018,NA,NA,NA,Fijo,19.36378574,-99.01822324,2024-11
639534,09017931210000221022000000U6,ADMINISTRADOR DEL CENTRO SOCIAL Y DEPORTIVO PRESIDENTE PLUTARCO ELIAS CALLE,ESCUELA DEL DEPORTE PUBLICO ALBERCAS,713944,Centros de acondicionamiento físico del sector público,31 a 50 personas,CALLE,COBRE,CALLE,EL CATORCE,EJE VIAL,2 ORIENTE (HONORABLE CONGRESO DE LA UNION),CALLE,PLATINO,200,NA,NA,NA,NA,NA,COLONIA,POPULAR RASTRO,NA,NA,NA,15220,09,Ciudad de México,017,Venustiano Carranza,0001,Venustiano Carranza,0032,007,NA,NA,NA,Fijo,19.45301713,-99.11872728,2010-07
11647435,09003713943002701000000000U5,AERO DANCE,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,ANACAHUITA,CALLE,AILE,CALLE,GUAMUCHIL,CALLE,ZIHUATLAN,534,NA,NA,NA,NA,NA,COLONIA,PEDREGAL DE SANTO DOMINGO,NA,NA,NA,04369,09,Ciudad de México,003,Coyoacán,0001,Coyoacán,079A,023,5570720930,NA,NA,Fijo,19.31858362,-99.17148401,2024-11
844340,09007713943002601000000000U8,AEROBICS Y ZOOMBA STAR FITNESS,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,CERRO DEL MIRADOR,CALLE,VERDE,CALLE,ESTRELLA,AVENIDA,DE LAS TORRES,1,NA,NA,NA,NA,NA,COLONIA,BUENAVISTA,NA,NA,NA,09700,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,4109,025,NA,NA,NA,Fijo,19.32557619,-99.02750188,2014-12
10869648,09007713943007201000000000U2,AEROZUMBA LUPITA S FIT,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,VILLA FRATI,CALLE,VILLA DEL REY,CALLE,ROSARIO,CALLE,VILLA FRUENA,NA,SN,NA,NA,NA,NA,COLONIA,DESARROLLO URBANO QUETZALCOATL,NA,NA,NA,09700,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,3204,015,5584237234,NA,NA,Fijo,19.33034699,-99.03789195,2024-11
10695598,09005713943004722000000000U4,AGAETRA FITNESS,NA,713943,Centros de acondicionamiento físico del sector privado,6 a 10 personas,AVENIDA,LEON DE LOS ALDAMA,CALLE,16 DE SEPTIEMBRE,CALLE,GUADALUPE VICTORIA,CALLE,INDEPENDENCIA,NA,SN,NA,NA,NA,NA,COLONIA,SAN FELIPE DE JESÚS,NA,NA,NA,07520,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,103A,027,NA,NA,NA,Fijo,19.49666782,-99.07745652,2024-11
10612530,09005713943004931000000000U1,AJNA ESTUDIOS,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,28 A,AVENIDA,1-A,EJE VIAL,1 PONIENTE (CALZADA VALLEJO),CALLE,26-A,6,NA,NA,NA,1,NA,COLONIA,SANTA ROSA,NA,NA,NA,07620,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,0421,021,NA,NA,NA,Fijo,19.5253704,-99.1679812,2024-11
10768959,09006713943001501000000000U3,AK FITNESS,NA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,AVENIDA,PRESIDENTE PLUTARCO ELIAS CALLES,CALLE,PLAYA ERIZO,CALLE,PLAYA COLORADA,CALLE,PLAYA LANGOSTA,1086,NA,NA,NA,NA,NA,COLONIA,REFORMA IZTACCIHUATL NORTE,NA,NA,NA,08810,09,Ciudad de México,006,Iztacalco,0001,Iztacalco,0876,016,5574903441,NA,NA,Fijo,19.38627207,-99.13325695,2024-11
7254455,09014713943001301000000000U2,AKA FITNESS,HUGO ECHEVERRIA,713943,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CIRCUITO,INTERIOR AVENIDA PATRIOTISMO,CALLE,BOTTICELLI,CALLE,BERRUGUETE,CALLE,WATTEAU,604,NA,NA,NA,1,NA,COLONIA,SANTA MARÍA NONOALCO,NA,NA,NA,03700,09,Ciudad de México,014,Benito Juárez,0001,Benito Juárez,0558,002,5562533342,AKAFITNESS@HOTMAIL.COM,NA,Fijo,19.38272523,-99.18410553,2019-11
